ID,DATA_OF_BIRTH,NAME,TYPE,HAS_RECOVERED
169,2016-10-19,"Giuseppe Abernathy",dog,
170,2015-11-20,"Cicero Collier",dog,
171,2016-05-29,"Moriah Hagenes Jr.",dog,
172,2015-07-14,"Melody Tillman I",dog,
173,2017-03-15,"Cade Rice",dog,
174,2018-05-28,"Mrs. Keely Swaniawski Jr.",dog,
175,2016-09-19,"Llewellyn Haag",rabbit,
176,2015-04-23,"Ed Price",rabbit,
177,2017-08-31,"Estella Willms III",dog,
178,2016-04-17,"Ms. Letitia Volkman Jr.",dog,
179,2014-09-01,"Richard Crist",dog,
180,2016-05-23,"Mr. Van Brekke",rabbit,
181,2017-09-10,"Jordi Altenwerth MD",rabbit,
182,2017-02-04,"Prof. Anya Wuckert",dog,
183,2015-08-31,"Tia Fisher",dog,
184,2016-02-27,"Wilton Murray",dog,
185,2018-10-16,"Jasper Hammes MD",rabbit,
186,2015-04-06,"Ms. Lura Stiedemann II",dog,
187,2017-12-09,"Aimee Beatty",cat,
188,2016-07-05,"Santiago Jast",dog,
189,2015-10-29,"Cierra Nader",dog,
190,2016-09-05,"Hallie Wyman PhD",cat,
191,2018-12-29,"Destiny Kautzer",rabbit,
192,2015-07-03,"Arthur West MD",dog,
193,2018-04-21,"Prof. Shirley Simonis",cat,
194,2019-04-13,"Florida Wisozk DVM",rabbit,
195,2014-09-19,"Dr. Barton Koch Jr.",dog,
196,2015-08-26,"Prof. Nikolas Ullrich Sr.",cat,
197,2017-07-24,"Ms. Jaquelin Bins IV",rabbit,
198,2018-08-21,"Ubaldo Pagac Jr.",rabbit,
199,2014-07-24,"Rylee Volkman",cat,
200,2015-04-08,"Leila Volkman",rabbit,
201,2017-04-10,"Prof. Milton Stoltenberg",rabbit,
202,2017-01-01,"Raul Koch",dog,
203,2015-08-07,"Ms. Tania Toy",dog,
204,2018-12-20,"Christine Beahan",rabbit,
205,2015-03-16,"Ms. Vivien Hermiston Sr.",cat,
206,2017-05-16,"Milton Koch",cat,
207,2018-03-26,"Zoila Douglas",cat,
208,2017-05-16,"Ted Cummings",cat,
209,2016-10-26,"Casimir Labadie",cat,
210,2017-02-22,"Connie Deckow PhD",rabbit,
211,2015-08-25,"Fidel Adams",dog,
212,2015-05-13,"Javier Nikolaus",cat,
213,2016-05-03,"Neoma Morissette",cat,
214,2018-06-07,"Lia Will",dog,
215,2015-08-20,"Aubree Bernier",cat,
216,2014-07-12,"Perry Bergnaum",rabbit,
217,2015-07-09,"Zena Lowe II",rabbit,
218,2017-11-02,"Dr. Cleora Deckow I",cat,
219,2014-12-08,"Mason Gleichner",cat,
220,2018-12-25,"Buster Mraz",rabbit,
221,2017-12-07,"Irma Johns",dog,
222,2017-03-27,"Dr. Toy McGlynn",rabbit,
223,2017-02-05,"Minnie Bruen",rabbit,
224,2019-04-22,"Adah Wilkinson",cat,
225,2018-01-15,"Dr. Susan Ryan",dog,
226,2018-07-27,"Lysanne Lockman DVM",rabbit,
227,2014-08-23,"Mrs. Zella Volkman",dog,
228,2014-12-30,"Ari Padberg",rabbit,
229,2015-10-12,"Guillermo Hills",dog,
230,2018-11-09,"Dr. Braeden Funk II",cat,
231,2018-10-13,"Sarina Wilkinson",rabbit,
232,2017-01-29,"Miss Kariane Lemke",rabbit,
233,2016-11-30,"Miss Janet Reichel Sr.",rabbit,
234,2018-07-02,"Alicia Hansen Sr.",rabbit,
235,2016-01-01,"Alisha Bayer",rabbit,
236,2014-09-10,"Patrick Volkman",dog,
237,2016-12-14,"Aron Volkman",cat,
238,2015-01-29,"Dr. Virgie Nolan",cat,
239,2016-12-16,"Prof. Jovanny Lakin Jr.",cat,
240,2017-01-30,"Nelson Wolf V",cat,
241,2018-10-02,"Cynthia Wiza",dog,
242,2018-11-23,"Jon Lind",cat,
243,2017-03-09,"Mrs. Erika Kirlin",dog,
244,2016-10-18,"Willy White",cat,
245,2018-08-08,"Brett Feil",cat,
246,2015-03-21,"Leila Rempel",dog,
247,2016-07-26,"Maritza Pagac",dog,
248,2018-07-05,"Mr. Jedediah Klein",cat,
249,2017-06-20,"Johnson Harris",dog,
250,2016-09-25,"Davion Runolfsdottir",dog,
251,2017-05-03,"Miss Jazmyn Daugherty DVM",rabbit,
252,2014-07-19,"Mr. Carlos Toy V",rabbit,
253,2017-04-26,"Abraham Sauer",cat,
254,2016-07-23,"Mrs. Breanne Blanda",rabbit,
255,2018-06-15,"Tina Schmidt I",rabbit,
256,2018-11-17,"Ms. Shaylee Stokes",rabbit,
257,2018-10-29,"Lorine Rice",cat,
258,2016-09-29,"Mrs. Yolanda Kunde",dog,
259,2016-04-22,"Axel Bartell",rabbit,
260,2016-02-23,"Jarvis Herzog I",dog,
261,2018-02-22,"Natalia Hermann",cat,
262,2018-10-21,"Jazmyne Kovacek",dog,
263,2016-02-05,"Ms. Taya Metz III",rabbit,
264,2017-04-20,"Prudence Shanahan",cat,
265,2014-12-19,"Justine Kling",rabbit,
266,2019-04-17,"Leo Shanahan",dog,
267,2018-03-12,"Elvera Hirthe",cat,
268,2018-03-18,"Hershel Corwin I",cat,
269,2016-07-26,"Cale Goldner",dog,
270,2017-09-29,"Megane Kihn",cat,
271,2014-09-03,"Davonte Schuster",rabbit,
272,2018-11-06,"Dr. Simone Gerlach",rabbit,
273,2017-10-11,"Dr. Melvina Swaniawski Sr.",rabbit,
274,2018-01-01,"Carter Swaniawski IV",dog,
275,2015-11-22,"Marie Rodriguez",cat,
276,2018-07-21,"Miss Elizabeth Hoeger",dog,
277,2017-06-20,"Sonya Cummings",cat,
278,2018-06-30,"Stacey O'Hara",dog,
279,2016-12-26,"Ms. Carolyn Strosin I",dog,
280,2018-05-18,"Vallie Lowe",cat,
281,2017-11-05,"Ariane Schmeler Sr.",rabbit,
282,2019-04-28,"Lexie Littel",dog,
283,2014-10-27,"Lourdes Yundt",cat,
284,2018-04-08,"Karson Schimmel",rabbit,
285,2017-05-09,"Sonny Marquardt DVM",dog,
286,2016-11-19,"Dr. Mariah Jaskolski DVM",rabbit,
287,2016-09-21,"Luther Schulist",rabbit,
288,2014-12-22,"Mrs. Melissa White",cat,
289,2015-10-11,"Solon Von",rabbit,
290,2017-01-20,"Dr. Daniella Rice",rabbit,
291,2016-02-22,"Tomasa Lockman",dog,
292,2018-02-21,"Ms. Ashley Weissnat PhD",dog,
293,2017-08-08,"Aileen Bradtke",cat,
294,2015-11-05,"Dr. Harry Kuphal",dog,
295,2014-10-26,"Joseph Stamm MD",cat,
296,2016-06-17,"William Ward",rabbit,
297,2017-09-22,"Dr. Clarissa Roberts",cat,
298,2018-09-26,"Eliane Champlin",rabbit,
299,2017-11-03,"Stone Koss",cat,
300,2019-05-12,"Mr. Osbaldo Zboncak MD",rabbit,
301,2015-08-01,"Omari D'Amore",dog,
302,2018-08-04,"Prof. Wendell Nitzsche",rabbit,
303,2017-01-13,"Hildegard King",dog,
304,2017-06-02,"Chauncey Hane",cat,
305,2017-04-07,"Benny Auer II",rabbit,
306,2019-03-14,"Salvador Durgan",dog,
307,2019-01-21,"Mr. Rhiannon Shields PhD",cat,
308,2015-07-10,"Dorthy Hirthe",rabbit,
309,2017-04-27,"Kathryn Roob",rabbit,
310,2016-12-10,"Miss Adella Hessel",cat,
311,2015-03-18,"Myrna McKenzie",dog,
312,2019-02-09,"Elmore Boyer",dog,
313,2016-08-08,"Dusty Kessler",cat,
314,2015-09-21,"Prof. Krystal Beatty",dog,
315,2015-04-09,"Mr. Arnulfo Carter",cat,
316,2019-01-03,"Karina Kuhic",cat,
317,2019-03-17,"Allie Ebert",dog,
318,2015-03-11,"Prof. Virginia Walter II",dog,
319,2015-04-16,"Jamar Boehm",rabbit,
320,2015-10-04,"Miss Courtney Kulas",dog,
321,2019-03-14,"Mabelle Volkman Jr.",cat,
322,2015-02-10,"Verlie Leannon",dog,
323,2018-12-02,"Prof. Isobel Walsh DVM",rabbit,
324,2015-05-15,"Miller Berge",dog,
325,2016-04-13,"Davonte Tromp",cat,
326,2017-01-04,"Brennon Dare",cat,
327,2015-02-05,"Ms. Ashtyn Funk",cat,
328,2014-12-18,"Merritt Brown",cat,
329,2014-12-05,"Jovany Veum",cat,
330,2018-07-31,"Forrest Russel",dog,
331,2019-05-08,"Dr. Ned Vandervort PhD",dog,
332,2016-07-08,"Dell Nicolas Sr.",dog,
333,2017-09-08,"Jerad Jones",cat,
334,2015-04-20,"Rebeka Stracke",cat,
335,2017-02-11,"Yvette Altenwerth",cat,
336,2014-11-13,"Vincenza Nicolas",dog,
337,2015-03-04,"Prof. Frederick Legros",rabbit,
338,2018-01-22,"Ms. Marielle Ryan I",rabbit,
339,2016-04-14,"Antonina Runte",dog,
340,2018-09-23,"Dr. Devyn Marvin DDS",dog,
341,2016-09-20,"Mr. Marcus Brekke Jr.",dog,
342,2019-02-27,"Prof. Vicky Heller",rabbit,
343,2016-05-16,"Berneice Kuvalis III",rabbit,
344,2014-06-14,"Prof. Seamus Bartell",dog,
345,2016-07-02,"Dr. Adam Wyman",cat,
346,2016-10-12,"Rachael Batz",rabbit,
347,2015-02-26,"Hertha Ortiz",rabbit,
348,2018-11-04,"Aditya Paucek DVM",rabbit,
349,2019-04-06,"Robin Baumbach",dog,
350,2016-03-26,"Ferne Carter",dog,
351,2016-03-25,"Vita Murray MD",cat,
352,2017-12-16,"Alda Prohaska PhD",dog,
353,2016-04-05,"Mrs. Josephine Wehner",cat,
354,2016-08-30,"Dr. Bethel Bogisich",cat,
355,2016-11-23,"Mrs. Judy Jacobi IV",cat,
356,2016-09-26,"Dr. Marlee Bahringer",cat,
357,2017-06-09,"Hazle Greenfelder",cat,
358,2018-03-28,"Karley Deckow",rabbit,
359,2018-08-18,"Ms. Myrtice Adams III",cat,
360,2015-07-18,"Alvis Steuber",dog,
361,2017-06-15,"Porter Rodriguez",cat,
362,2018-06-10,"Mrs. Kylee Smith",rabbit,
363,2016-03-27,"Abelardo Gibson",cat,
364,2014-07-27,"Kenyatta Franecki",cat,
365,2015-03-06,"Sylvia Lubowitz IV",cat,
366,2016-07-01,"Benton Pollich",rabbit,
367,2014-07-05,"Brooke Schinner",rabbit,
368,2016-06-09,"Prof. Anna Kuhlman",rabbit,
369,2018-04-23,"Leonor Mohr",dog,
370,2016-05-13,"Susie Block",cat,
371,2016-06-17,"Eleanore Hickle",dog,
372,2016-01-10,"Dr. Germaine Treutel MD",dog,
373,2018-05-13,"Retta Gulgowski",cat,
374,2016-03-16,"Aylin Bernhard",rabbit,
375,2015-09-11,"Miss Deborah Leannon MD",rabbit,
376,2016-09-20,"Janice Marks",cat,
377,2018-10-30,"Nikolas Dietrich",dog,
378,2018-12-20,"Pierce Runolfsson",rabbit,
379,2019-03-25,"Miss Destany Hane V",cat,
380,2018-01-24,"Mr. Aric Hand Jr.",cat,
381,2018-05-23,"Reid Ward",cat,
382,2015-12-30,"Prof. Carolyne Ferry Jr.",cat,
383,2016-06-17,"Rosamond Cartwright",cat,
384,2014-12-01,"Dr. Johanna Daniel",cat,
385,2016-03-04,"Dr. Fredrick Hickle",rabbit,
386,2018-07-12,"Mr. Ryann Runolfsson I",rabbit,
387,2018-01-24,"Lue Feil",cat,
388,2016-10-12,"Keanu Morissette I",dog,
389,2018-05-07,"Gabriella Kuhic II",rabbit,
390,2018-10-03,"Rudy Moore",rabbit,
391,2017-01-05,"Prof. Tanner Olson DVM",rabbit,
392,2015-10-24,"Golden Satterfield",cat,
393,2018-10-02,"Nils Metz I",dog,
394,2017-08-27,"Tracey Wiegand",rabbit,
395,2014-11-16,"Rubie Rice",dog,
396,2018-05-04,"Ms. Enola Little",dog,
397,2017-03-30,"Prof. Lennie Hyatt",cat,
398,2018-04-11,"Prof. Braden Wehner",rabbit,
399,2016-10-31,"Beau Buckridge",rabbit,
400,2015-02-07,"Lilyan Steuber",rabbit,
401,2018-12-02,"Narciso Tillman",cat,
402,2018-03-08,"Brennan Dickens",dog,
403,2017-08-31,"Dr. Damon Ward PhD",cat,
404,2019-03-15,"Jovany Ebert",dog,
405,2017-03-19,"Orrin Daniel",cat,
406,2019-03-14,"Jesse Abbott II",dog,
407,2017-03-29,"Alvena Heathcote",dog,
408,2015-06-15,"Korey Connelly",dog,
409,2015-01-02,"Loma Ondricka",cat,
410,2016-04-16,"Geraldine Rosenbaum II",dog,
411,2017-11-26,"Edmund Jacobs",dog,
412,2015-08-29,"Prof. Louisa Nolan",dog,
413,2014-07-25,"Edd Trantow",dog,
414,2017-05-15,"Camren McClure",rabbit,
415,2019-02-13,"Prof. Myron Durgan",rabbit,
416,2015-02-19,"Claude Lebsack",dog,
417,2018-12-21,"Price Will",rabbit,
418,2016-04-26,"Ms. Justine Pacocha",rabbit,
419,2018-02-24,"Quinn Gorczany",dog,
420,2015-06-29,"Dr. Sheridan Erdman V",dog,
421,2018-04-30,"Dr. Marian Bergnaum Jr.",rabbit,
422,2016-09-06,"Mrs. Carley Purdy I",rabbit,
423,2014-07-23,"Raul Labadie",rabbit,
424,2015-02-03,"Rebeca Doyle IV",dog,
425,2015-06-29,"Pamela Douglas",rabbit,
426,2014-12-22,"Filiberto Lind",rabbit,
427,2017-01-15,"Misty Pfannerstill",rabbit,
428,2019-02-18,"Adele Schumm",dog,
429,2015-04-09,"Prof. Norberto Kreiger",dog,
430,2015-04-09,"Mr. Jayden Bins",dog,
431,2016-10-25,"Flavio Bergnaum",rabbit,
432,2016-09-21,"Grady Johns III",cat,
433,2015-07-12,"Steve Steuber",dog,
434,2015-10-08,"Solon Balistreri V",cat,
435,2019-01-08,"Stephon Olson",rabbit,
436,2019-01-31,"Mr. Kristopher Hackett Jr.",rabbit,
437,2014-06-03,"Jessie Willms",rabbit,
438,2016-05-04,"Isaias Jenkins DDS",dog,
439,2017-03-24,"Everardo Mueller",cat,
440,2018-03-15,"Isac Leuschke MD",dog,
441,2018-11-02,"Daisy Legros",cat,
442,2016-10-20,"Justyn Mertz",rabbit,
443,2015-05-29,"Mr. Hunter Roob",rabbit,
444,2015-05-14,"Wyatt Bode",dog,
445,2014-10-24,"Arely Glover",cat,
446,2018-03-11,"Idella Windler",dog,
447,2014-07-12,"Marcelina Bauch",cat,
448,2019-03-29,"Murphy Williamson",cat,
449,2016-12-02,"Mac Medhurst",rabbit,
450,2015-05-15,"Burnice Schultz",cat,
451,2016-01-13,"Miss Samara Heathcote III",dog,
452,2019-02-04,"Emily O'Hara Jr.",rabbit,
453,2019-01-01,"Luis Runolfsdottir",dog,
454,2017-11-20,"Heather Green MD",cat,
455,2018-02-20,"Dayana Mante",dog,
456,2018-03-21,"Miss Zula Cole IV",cat,
457,2016-05-27,"Mr. Clifford Stroman",rabbit,
458,2018-10-22,"Prof. Karlie Wiza IV",cat,
459,2018-09-26,"Katrina Kiehn",dog,
460,2018-09-10,"Russ Cole",dog,
461,2014-09-30,"Orlo Heathcote",rabbit,
462,2017-05-01,"Ms. Hilma Boehm IV",rabbit,
463,2017-03-17,"Prof. Ben Flatley PhD",cat,
464,2015-03-13,"Daniella Schiller",cat,
465,2018-07-21,"Terrill Kertzmann Jr.",cat,
466,2018-07-05,"Ms. Susie Hoppe MD",cat,
467,2019-04-11,"Kim Casper",rabbit,
468,2018-04-09,"Serenity Osinski Jr.",cat,
469,2018-04-18,"Roscoe McClure",cat,
470,2017-02-22,"Ryder Wilderman II",dog,
471,2017-10-27,"Prof. Jordon Carroll V",cat,
472,2015-08-21,"Imelda Schmidt",cat,
473,2018-08-15,"Dr. August Mann II",dog,
474,2018-08-11,"Dr. Julius Boyer DDS",rabbit,
475,2019-04-22,"Hobart Ferry",dog,
476,2018-05-22,"Bettie Ziemann",cat,
477,2015-04-21,"Emmie Gulgowski",cat,
478,2015-02-27,"Dr. Halle Bernhard",rabbit,
479,2019-05-11,"Bernice Auer",cat,
480,2016-05-28,"Camryn Paucek",dog,
481,2016-07-28,"Kurtis Hegmann",dog,
482,2014-07-26,"Kay Crona",rabbit,
483,2018-08-27,"Prof. Giovanni Pfannerstill",dog,
484,2018-01-27,"Prof. Dino Bayer",dog,
485,2018-06-05,"Shanon Weimann",rabbit,
486,2014-06-17,"Birdie Lynch",rabbit,
487,2018-01-24,"Miss Kirstin McKenzie Sr.",dog,
488,2016-06-13,"Melvin Kuphal",dog,
489,2017-05-01,"Sabrina Macejkovic",rabbit,
490,2016-08-30,"Miss Arlene Trantow",dog,
491,2014-10-24,"Saul Ward",cat,
492,2019-05-11,"Prof. Kathleen Corkery",cat,
493,2019-03-29,"Chloe Bosco",dog,
494,2014-12-04,"Dr. Katrina Gleichner I",dog,
495,2014-06-10,"Breana Dietrich DDS",dog,
496,2015-08-24,"Jerald Conroy",cat,
497,2014-05-31,"Keara Fritsch",cat,
498,2017-03-23,"Margarette Homenick I",cat,
499,2019-05-02,"Ellsworth Funk Sr.",dog,
500,2018-02-12,"Clovis Gusikowski",cat,
501,2018-07-10,"Ms. Dakota Hackett PhD",dog,
502,2018-12-24,"Miss Katelin Volkman",dog,
503,2015-08-04,"Sterling Grimes",rabbit,
504,2014-08-30,"Jaqueline Nader",dog,
505,2017-10-23,"Mrs. Antonina Willms DDS",cat,
506,2018-09-10,"Cortez Nitzsche",rabbit,
507,2016-08-01,"Ms. Zora Bahringer PhD",rabbit,
508,2014-12-26,"Mafalda Hirthe",dog,
509,2014-08-29,"Raina Bode",cat,
510,2014-07-05,"Janick Ratke",dog,
511,2019-02-24,"Ned Klein",dog,
512,2014-10-06,"Maximo Erdman",dog,
513,2018-12-14,"Morton Frami",cat,
514,2018-05-16,"Domenick Bernier",rabbit,
515,2018-08-08,"Ms. Stacy Zboncak",dog,
516,2019-05-06,"Evans Rolfson",cat,
517,2018-03-14,"Arnold Cruickshank",cat,
518,2015-12-06,"Randall Macejkovic",dog,
519,2016-06-22,"Miss Leonora Krajcik I",cat,
520,2014-11-09,"Joel Bins",rabbit,
521,2015-09-06,"Prof. Delbert Schimmel DVM",dog,
522,2015-07-18,"Dion Schinner",dog,
523,2016-06-04,"Berniece Ondricka",dog,
524,2015-10-09,"Daisy Prosacco",dog,
525,2016-06-13,"Odie Ortiz",cat,
526,2017-06-22,"Howard Mraz",rabbit,
527,2017-11-06,"Dr. Rosanna Kulas IV",dog,
528,2018-05-26,"Myrl Sporer",rabbit,
529,2018-09-30,"Nannie Koepp",cat,
530,2017-01-01,"Dr. Abe Deckow DDS",rabbit,
531,2018-07-01,"Emily Cummerata",cat,
532,2015-06-21,"Robyn Toy",rabbit,
533,2018-11-21,"Alyson DuBuque II",rabbit,
534,2014-09-29,"Scottie Daniel",dog,
535,2016-11-17,"Margret Nitzsche",dog,
536,2017-08-12,"Arvid Hegmann",dog,
537,2017-07-30,"Mr. Brock Dach",rabbit,
538,2016-10-09,"Edwardo Becker",rabbit,
539,2017-10-30,"Garrison Kemmer I",dog,
540,2017-06-01,"Cordelia Bradtke",dog,
541,2018-08-28,"Jayce Boyle",dog,
542,2018-06-20,"Prof. Rollin Hirthe DVM",cat,
543,2015-08-23,"Mr. Buddy Okuneva PhD",rabbit,
544,2015-09-29,"Annalise Powlowski",cat,
545,2018-04-14,"Destiny Conn Sr.",dog,
